plantName;dateStart;obs;lod;plantVolume;meanVolume
PARIS_SEINE-AMONT;2021-10-04;113291.66928133726;5000;452285.0;452285.0
PARIS_SEINE-CENTRE;2021-10-06;71580.3772611602;5000;232743.0;203240.0
PARIS_MARNE_AVAL;2021-10-06;187204.9910572331;5000;47137.0;45468.0
PARIS_SEINE-AMONT;2021-10-06;84459.15172890098;5000;452285.0;452285.0
PARIS_SEINE-CENTRE;2021-10-10;123763.99363448226;5000;239039.0;203240.0
PARIS_SEINE-AMONT;2021-10-10;45384.25703061711;5000;452285.0;452285.0
PARIS_MARNE_AVAL;2021-10-11;123005.74932772137;5000;38182.0;45468.0
PARIS_SEINE-MOREE;2021-10-11;134437.45255964866;5000;21370.0;14818.0
PARIS_SEINE-CENTRE;2021-10-13;60043.619282485146;5000;230697.0;203240.0
PARIS_MARNE_AVAL;2021-10-13;62950.040971948634;5000;38915.0;45468.0
PARIS_SEINE-AMONT;2021-10-13;211270.9695704818;5000;452285.0;452285.0
PARIS_SEINE-MOREE;2021-10-13;89779.66899900405;5000;23120.0;14818.0
PARIS_SEINE-CENTRE;2021-10-17;87644.01065036247;5000;236083.0;203240.0
PARIS_SEINE-AMONT;2021-10-18;184792.37483753462;5000;452285.0;452285.0
PARIS_SEINE-MOREE;2021-10-18;131790.5680732239;5000;29590.0;14818.0
PARIS_MARNE_AVAL;2021-10-18;19552.197023044693;5000;40131.0;45468.0
PARIS_SEINE-CENTRE;2021-10-20;37440.230276001734;5000;236610.0;203240.0
PARIS_SEINE-MOREE;2021-10-20;29834.609400914334;5000;28960.0;14818.0
PARIS_MARNE_AVAL;2021-10-20;24144.53913302542;5000;38236.0;45468.0
PARIS_SEINE-AMONT;2021-10-20;51277.70889118676;5000;452285.0;452285.0
PARIS_SEINE-CENTRE;2021-10-24;125961.03704412129;5000;238160.0;203240.0
PARIS_SEINE-AMONT;2021-10-25;81142.43010446914;5000;452285.0;452285.0
PARIS_MARNE_AVAL;2021-10-25;57882.57529285586;5000;39353.0;45468.0
PARIS_SEINE-MOREE;2021-10-25;60192.11280478378;5000;30240.0;14818.0
PARIS_MARNE_AVAL;2021-10-27;118452.46511294242;5000;37624.0;45468.0
PARIS_SEINE-AMONT;2021-10-27;42734.3035168066;5000;452285.0;452285.0
PARIS_SEINE-CENTRE;2021-10-27;149749.05201863317;5000;250609.0;203240.0
PARIS_SEINE-MOREE;2021-10-27;155052.19533393293;5000;29850.0;14818.0
PARIS_SEINE-CENTRE;2021-10-31;79309.67453893348;5000;304704.0;203240.0
PARIS_SEINE-MOREE;2021-11-01;118599.10466858358;5000;31080.0;14818.0
PARIS_MARNE_AVAL;2021-11-01;16407.548908706798;5000;48361.0;45468.0
PARIS_SEINE-AMONT;2021-11-01;82717.18816069314;5000;452285.0;452285.0
PARIS_SEINE-CENTRE;2021-11-03;116341.74302548105;5000;273394.0;203240.0
PARIS_SEINE-AMONT;2021-11-03;115353.53557144245;5000;452285.0;452285.0
PARIS_SEINE-MOREE;2021-11-03;319101.2983523091;5000;31980.0;14818.0
PARIS_MARNE_AVAL;2021-11-03;81179.2578286294;5000;41607.0;45468.0
PARIS_MARNE_AVAL;2021-11-06;993355.0196653281;5000;61662.0;45468.0
PARIS_SEINE-CENTRE;2021-11-07;121202.3533122476;5000;372398.0;203240.0
PARIS_SEINE-AMONT;2021-11-08;96057.63851349737;5000;452285.0;452285.0
PARIS_MARNE_AVAL;2021-11-08;52377.82773110468;5000;39221.0;45468.0
PARIS_SEINE-MOREE;2021-11-08;219647.75789974758;5000;30410.0;14818.0
PARIS_SEINE-AMONT;2021-11-10;75469.84570615012;5000;452285.0;452285.0
PARIS_MARNE_AVAL;2021-11-11;78462.1037871884;5000;35496.0;45468.0
PARIS_SEINE-MOREE;2021-11-11;502504.97353409574;5000;29240.0;14818.0
PARIS_SEINE-CENTRE;2021-11-14;412185.0836678962;5000;241216.0;203240.0
PARIS_SEINE-MOREE;2021-11-15;443523.3041054058;5000;29820.0;14818.0
PARIS_MARNE_AVAL;2021-11-15;160657.57389564274;5000;35379.0;45468.0
PARIS_SEINE-AMONT;2021-11-15;215389.85622668394;5000;452285.0;452285.0
PARIS_MARNE_AVAL;2021-11-17;306798.6841680911;5000;36421.0;45468.0
PARIS_SEINE-CENTRE;2021-11-17;195765.58315028003;5000;235146.0;203240.0
PARIS_SEINE-AMONT;2021-11-17;282704.39191003;5000;452285.0;452285.0
PARIS_SEINE-MOREE;2021-11-17;101052.02927450913;5000;29990.0;14818.0
PARIS_SEINE-CENTRE;2021-11-21;282911.40315414016;5000;245082.0;203240.0
PARIS_SEINE-AMONT;2021-11-22;239805.3763101715;5000;30690.0;452285.0
PARIS_SEINE-MOREE;2021-11-22;365966.2807244768;5000;30690.0;14818.0
PARIS_MARNE_AVAL;2021-11-22;415500.2147430612;5000;59790.0;45468.0
PARIS_SEINE-MOREE;2021-11-24;270904.79550919944;5000;30590.0;14818.0
PARIS_SEINE-CENTRE;2021-11-24;373630.0283653126;5000;238466.0;203240.0
PARIS_SEINE-AMONT;2021-11-24;182313.75288067866;5000;452285.0;452285.0
PARIS_MARNE_AVAL;2021-11-24;285998.03492362733;5000;59830.0;45468.0
PARIS_SEINE-CENTRE;2021-11-28;854705.7010339643;5000;240875.0;203240.0
PARIS_SEINE-MOREE;2021-11-29;630009.3774110972;5000;31370.0;14818.0
PARIS_SEINE-AMONT;2021-11-29;537481.2287832112;5000;452285.0;452285.0
PARIS_MARNE_AVAL;2021-11-29;769569.1477154737;5000;62659.0;45468.0
PARIS_SEINE-AMONT;2021-12-01;252987.04567274282;5000;452285.0;452285.0
PARIS_SEINE-MOREE;2021-12-01;120494.8684602648;5000;31470.0;14818.0
PARIS_MARNE_AVAL;2021-12-01;577254.3897995517;5000;73646.0;45468.0
PARIS_SEINE-CENTRE;2021-12-01;303889.1899332317;5000;441081.0;203240.0
PARIS_SEINE-CENTRE;2021-12-05;468840.66608002334;5000;426742.0;203240.0
PARIS_SEINE-AMONT;2021-12-06;558158.0231630377;5000;452285.0;452285.0
PARIS_SEINE-MOREE;2021-12-06;453979.61141292047;5000;32260.0;14818.0
PARIS_SEINE-CENTRE;2021-12-08;4994742.295140419;5000;267765.0;203240.0
PARIS_SEINE-MOREE;2021-12-08;480123.07249508175;5000;32120.0;14818.0
PARIS_SEINE-AMONT;2021-12-08;602994.9952715667;5000;452285.0;452285.0
PARIS_MARNE_AVAL;2021-12-08;1407652.8617441384;5000;72452.0;45468.0
PARIS_SEINE-CENTRE;2021-12-12;992908.8277820633;5000;270654.0;203240.0
PARIS_SEINE-MOREE;2021-12-13;616681.155914668;5000;32290.0;14818.0
PARIS_SEINE-AMONT;2021-12-13;622302.6466155639;5000;452285.0;452285.0
PARIS_MARNE_AVAL;2021-12-13;611868.3096843867;5000;71800.0;45468.0
PARIS_SEINE-MOREE;2021-12-15;561517.4225760447;5000;32300.0;14818.0
PARIS_SEINE-CENTRE;2021-12-15;508354.25364644505;5000;268387.0;203240.0
PARIS_MARNE_AVAL;2021-12-15;793688.842682973;5000;68665.0;45468.0
PARIS_SEINE-AMONT;2021-12-15;547609.8496099046;5000;452285.0;452285.0
PARIS_SEINE-CENTRE;2021-12-19;814398.4317697785;5000;236204.0;203240.0
PARIS_MARNE_AVAL;2021-12-20;1109230.2699571461;5000;63977.0;45468.0
PARIS_SEINE-AMONT;2021-12-20;815343.4697227266;5000;452285.0;452285.0
PARIS_SEINE-MOREE;2021-12-20;983665.3535880985;5000;31310.0;14818.0
PARIS_MARNE_AVAL;2021-12-22;554470.0167230197;5000;58667.0;45468.0
PARIS_SEINE-AMONT;2021-12-22;579406.3141881783;5000;452285.0;452285.0
PARIS_SEINE-MOREE;2021-12-22;1519766.3820817284;5000;31280.0;14818.0
PARIS_SEINE-CENTRE;2021-12-22;4982066.422050072;5000;268733.0;203240.0
PARIS_SEINE-CENTRE;2021-12-26;823837.8024169204;5000;337167.0;203240.0
PARIS_SEINE-MOREE;2021-12-27;3801842.7046974427;5000;32930.0;14818.0
PARIS_MARNE_AVAL;2021-12-27;724019.8957763741;5000;84196.0;45468.0
PARIS_SEINE-AMONT;2021-12-27;943420.437046432;5000;452285.0;452285.0
PARIS_SEINE-CENTRE;2021-12-29;4072756.048810451;5000;424713.0;203240.0
PARIS_MARNE_AVAL;2021-12-29;4560596.2007509;5000;87954.0;45468.0
PARIS_SEINE-MOREE;2021-12-29;3880373.8702823217;5000;32990.0;14818.0
PARIS_SEINE-AMONT;2021-12-29;952300.7118981018;5000;452285.0;452285.0
PARIS_SEINE-CENTRE;2022-01-02;2099024.869754297;5000;203240.0;203240.0
PARIS_SEINE-AMONT;2022-01-03;2216649.455540746;5000;406020.0;452285.0
PARIS_SEINE-MOREE;2022-01-03;930106.870626833;5000;32890.0;14818.0
PARIS_MARNE_AVAL;2022-01-03;844622.7299184734;5000;73657.0;45468.0
PARIS_SEINE-AMONT;2022-01-05;1504728.5550078473;5000;521324.0;452285.0
PARIS_MARNE_AVAL;2022-01-05;713349.072385096;5000;58864.0;45468.0
PARIS_SEINE-MOREE;2022-01-05;456212.62798837473;5000;32340.0;14818.0
PARIS_SEINE-CENTRE;2022-01-05;1123615.0696806246;5000;244396.0;203240.0
PARIS_SEINE-AMONT;2022-01-09;590120.556001917;5000;558774.0;452285.0
